                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8521,                0.12423,                0.39928,                 3.8782,               0.070242,              0.0033065,              0.0033065
                      2,                 3.2277,                0.41973,                0.72546,                 3.7811,               0.038927,              0.0053251,              0.0053251
                      3,                 2.1504,                0.58333,                0.86759,                 3.5589,              0.0062926,              0.0060238,              0.0060238
                      4,                   1.35,                0.74233,                0.93558,                  3.368,                0.00406,                0.00406,                0.00406
                      5,                0.91964,                0.77863,                0.94376,                 3.2972,                0.00208,                0.00208,                0.00208
