               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1027,              0.0469,            0.058908,            0.061907,             0.14673,            0.045877,            0.017542,            0.068327,            0.039489,            0.045653,            0.070091,           0.0033232,           0.0033232
                   1,             0.06988,            0.046387,            0.046114,             0.32822,             0.13036,            0.086774,            0.035726,            0.058713,             0.03678,            0.039451,            0.038773,           0.0053386,           0.0053386
                   2,            0.063876,            0.044855,            0.041702,             0.43204,             0.16931,             0.11028,            0.047511,            0.057927,            0.035848,            0.036004,           0.0061349,           0.0060339,           0.0060339
                   3,            0.057071,             0.04309,            0.038657,             0.43799,             0.22255,             0.12803,            0.062946,            0.049355,            0.034704,             0.03455,             0.00406,             0.00406,             0.00406
                   4,            0.054414,            0.043224,            0.037119,              0.6073,             0.22288,             0.13454,            0.065415,              0.0479,            0.034396,            0.033746,             0.00406,             0.00406,             0.00406
