               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097459,            0.058995,            0.057602,            0.040508,             0.18019,            0.060487,            0.023579,             0.06422,            0.052965,            0.043889,            0.070114,           0.0033207,           0.0033207
                   1,            0.067101,            0.056392,            0.044339,             0.31712,             0.15675,             0.05971,            0.023077,            0.064588,            0.048158,            0.037166,            0.038796,           0.0053365,           0.0053365
                   2,            0.062629,            0.054672,            0.039263,             0.50581,             0.19907,             0.10694,            0.042314,            0.057253,            0.048016,            0.034378,           0.0061586,           0.0060324,           0.0060324
                   3,            0.054575,             0.05402,             0.03679,             0.44905,             0.25377,             0.13336,            0.065289,            0.049182,            0.047246,            0.032306,             0.00406,             0.00406,             0.00406
                   4,             0.05168,            0.052487,             0.03509,              0.6232,             0.23647,             0.15582,            0.081231,            0.045322,            0.046385,            0.031249,             0.00406,             0.00406,             0.00406
